577,Multiplication Table,1000,PRACTICE,14-03-2024,A,OK
577,Multiplication Table,1000,PRACTICE,14-03-2024,A,OK
577,Multiplication Table,1000,PRACTICE,14-03-2024,A,WRONG_ANSWER
379,New Year Candles,1000,PRACTICE,14-03-2024,A,OK
476,Dreamoon and Stairs,1000,PRACTICE,14-03-2024,A,OK
1256,Payment Without Change,1000,PRACTICE,14-03-2024,A,OK
124,The number of positions,1000,PRACTICE,14-03-2024,A,OK
584,Olesya and Rodion,1000,PRACTICE,14-03-2024,A,OK
1922,Forming Triangles,1200,PRACTICE,13-03-2024,B,OK
742,Arpa’s hard exam and Mehrdad’s naive cheat,1000,PRACTICE,13-03-2024,A,OK
742,Arpa’s hard exam and Mehrdad’s naive cheat,1000,PRACTICE,13-03-2024,A,WRONG_ANSWER
500,New Year Transportation,1000,PRACTICE,13-03-2024,A,OK
499,Lecture,1000,PRACTICE,13-03-2024,B,OK
131,cAPS lOCK,1000,PRACTICE,13-03-2024,A,OK
131,cAPS lOCK,1000,PRACTICE,13-03-2024,A,WRONG_ANSWER
1300,Assigning to Classes,1000,PRACTICE,13-03-2024,B,WRONG_ANSWER
1300,Assigning to Classes,1000,PRACTICE,13-03-2024,B,WRONG_ANSWER
1300,Assigning to Classes,1000,PRACTICE,13-03-2024,B,WRONG_ANSWER
579,Raising Bacteria,1000,PRACTICE,13-03-2024,A,OK
1922,Forming Triangles,1200,PRACTICE,12-03-2024,B,OK
1922,Forming Triangles,1200,PRACTICE,12-03-2024,B,WRONG_ANSWER
43,Football,1000,PRACTICE,12-03-2024,A,OK
1358,Maria Breaks the Self-isolation,1000,PRACTICE,12-03-2024,B,OK
479,Expression,1000,PRACTICE,12-03-2024,A,OK
1465,Fair Numbers,1000,PRACTICE,12-03-2024,B,OK
230,Dragons,1000,PRACTICE,12-03-2024,A,OK
1312,Bogosort,1000,PRACTICE,12-03-2024,B,OK
1362,Johnny and Ancient Computer,1000,PRACTICE,12-03-2024,A,OK
1362,Johnny and Ancient Computer,1000,PRACTICE,12-03-2024,A,OK
1941,Rudolf and the Ball Game,1200,CONTESTANT,11-03-2024,D,TIME_LIMIT_EXCEEDED
1941,Rudolf and the Ball Game,1200,CONTESTANT,11-03-2024,D,WRONG_ANSWER
1941,Rudolf and the Ball Game,1200,CONTESTANT,11-03-2024,D,TIME_LIMIT_EXCEEDED
1941,Rudolf and the Ball Game,1200,CONTESTANT,11-03-2024,D,WRONG_ANSWER
